processo_numero;processo_ocorrencia
8122880318;Imoveis com Danos/Risco
8122880318;Incendios
8122422518;Imoveis com Danos/Risco
8122422518;Arvores em Risco
8122268618;Não há Ocorrência para essa Solicitação
8122218918;Não há Ocorrência para essa Solicitação
8122129618;Não há Ocorrência para essa Solicitação
8122076018;Não há Ocorrência para essa Solicitação
8121868018;Não há Ocorrência para essa Solicitação
8121821318;Não há Ocorrência para essa Solicitação
8121758018;Não há Ocorrência para essa Solicitação
8121646718;Não há Ocorrência para essa Solicitação
8121579818;Deslizamentos de Barreiras
8121398318;Não há Ocorrência para essa Solicitação
8121323318;Não há Ocorrência para essa Solicitação
8121201518;Não há Ocorrência para essa Solicitação
8121189518;Não há Ocorrência para essa Solicitação
8121096718;Incendios
8121096718;Imoveis com Danos/Risco
8121074318;Imoveis com Danos/Risco
8121043018;Não há Ocorrência para essa Solicitação
8121024618;Não há Ocorrência para essa Solicitação
8121019218;Imoveis com Danos/Risco
8120596618;Não há Ocorrência para essa Solicitação
8120515618;Não há Ocorrência para essa Solicitação
8120503818;Desabamento Parcial Imoveis
8120213018;Não há Ocorrência para essa Solicitação
8120147718;Não há Ocorrência para essa Solicitação
8120040818;Arvores em Risco
8119943017;Não há Ocorrência para essa Solicitação
8119941717;Deslizamentos de Barreiras
8119939217;Desabamento Parcial Imoveis
8119937017;Invasao de Terreno de Auxilio Moradia
8119812217;Imoveis com Danos/Risco
8119808318;Não há Ocorrência para essa Solicitação
8119765417;Não há Ocorrência para essa Solicitação
8119653018;Invasao de Terreno de Auxilio Moradia
8119653018;Imoveis com Danos/Risco
8119650018;Não há Ocorrência para essa Solicitação
8119593917;Imoveis com Danos/Risco
8119543117;Não há Ocorrência para essa Solicitação
8119522417;Não há Ocorrência para essa Solicitação
8119376618;Não há Ocorrência para essa Solicitação
8118976018;Não há Ocorrência para essa Solicitação
8118874218;Imoveis com Danos/Risco
8118827617;Imoveis com Danos/Risco
8118827617;Invasao de Terreno de Auxilio Moradia
8118822218;Não há Ocorrência para essa Solicitação
8118814117;Muro com Danos
8118797017;Imoveis com Danos/Risco
8118791117;Não há Ocorrência para essa Solicitação
8118750317;Imoveis com Danos/Risco
8118709317;Tombamento de Arvores
8118705817;Imoveis com Danos/Risco
8118687017;Imoveis com Danos/Risco
8118626017;Imoveis com Danos/Risco
8118617018;Não há Ocorrência para essa Solicitação
8118593517;Não há Ocorrência para essa Solicitação
8118584418;Arvores em Risco
8118531017;Não há Ocorrência para essa Solicitação
8118511917;Imoveis com Danos/Risco
8118480418;Não há Ocorrência para essa Solicitação
8118392818;Não há Ocorrência para essa Solicitação
8118386818;Não há Ocorrência para essa Solicitação
8118337917;Não há Ocorrência para essa Solicitação
8118333317;Não há Ocorrência para essa Solicitação
8118325017;Não há Ocorrência para essa Solicitação
8118255018;Imoveis com Danos/Risco
8118255018;Muro com Danos
8118255018;Deslizamentos de Barreiras
8118253017;Incendios
8118245717;Deslizamentos de Barreiras
8118245717;Imoveis com Danos/Risco
8118242817;Não há Ocorrência para essa Solicitação
8118240517;Não há Ocorrência para essa Solicitação
8118240318;Não há Ocorrência para essa Solicitação
8118235117;Não há Ocorrência para essa Solicitação
8118234318;Imoveis com Danos/Risco
8118210917;Arvores em Risco
8118209918;Não há Ocorrência para essa Solicitação
8118207817;Não há Ocorrência para essa Solicitação
8118192918;Não há Ocorrência para essa Solicitação
8118171317;Imoveis com Danos/Risco
8118142317;Imoveis com Danos/Risco
8118100917;Não há Ocorrência para essa Solicitação
8117960417;Não há Ocorrência para essa Solicitação
8117958017;Não há Ocorrência para essa Solicitação
8117861617;Muro com Danos
8117796818;Imoveis com Danos/Risco
8117759717;Não há Ocorrência para essa Solicitação
8117740417;Não há Ocorrência para essa Solicitação
8117722418;Não há Ocorrência para essa Solicitação
8117614718;Não há Ocorrência para essa Solicitação
8117533718;Não há Ocorrência para essa Solicitação
8117518017;Arvores em Risco
8117518017;Tombamento de Arvores
8117518017;Imoveis com Danos/Risco
8117479218;Não há Ocorrência para essa Solicitação
8117463017;Não há Ocorrência para essa Solicitação
8117461817;Não há Ocorrência para essa Solicitação
8117459317;Não há Ocorrência para essa Solicitação
8117457017;Não há Ocorrência para essa Solicitação
8117455817;Não há Ocorrência para essa Solicitação
8117453517;Não há Ocorrência para essa Solicitação
8117451217;Não há Ocorrência para essa Solicitação
8117446917;Não há Ocorrência para essa Solicitação
8117433417;Não há Ocorrência para essa Solicitação
8117426618;Imoveis com Danos/Risco
8117382918;Muro com Danos
8117318918;Imoveis com Danos/Risco
8117275017;Não há Ocorrência para essa Solicitação
8117219018;Não há Ocorrência para essa Solicitação
8117208918;Não há Ocorrência para essa Solicitação
8117183618;Muro com Danos
8117142017;Não há Ocorrência para essa Solicitação
8117134518;Não há Ocorrência para essa Solicitação
8117111518;Não há Ocorrência para essa Solicitação
8117101117;Não há Ocorrência para essa Solicitação
8117101117;Imoveis com Danos/Risco
8117008117;Imoveis com Danos/Risco
8116997117;Não há Ocorrência para essa Solicitação
8116975618;Não há Ocorrência para essa Solicitação
8116880717;Não há Ocorrência para essa Solicitação
8116864117;Não há Ocorrência para essa Solicitação
8116862917;Não há Ocorrência para essa Solicitação
8116794317;Não há Ocorrência para essa Solicitação
8116781917;Não há Ocorrência para essa Solicitação
8116769917;Não há Ocorrência para essa Solicitação
8116730517;Não há Ocorrência para essa Solicitação
8116683717;Não há Ocorrência para essa Solicitação
8116678317;Muro com Danos
8116536218;Imoveis com Danos/Risco
8116407818;Não há Ocorrência para essa Solicitação
8116352918;Deslizamentos de Barreiras
8116295717;Muro com Danos
8116283718;Não há Ocorrência para essa Solicitação
8116234817;Não há Ocorrência para essa Solicitação
8116187818;Não há Ocorrência para essa Solicitação
8116164017;Imoveis com Danos/Risco
8116098518;Não há Ocorrência para essa Solicitação
8116065018;Deslizamentos de Barreiras
8116042018;Imoveis com Danos/Risco
8116042018;Invasao de Terreno de Auxilio Moradia
8116022017;Arvores em Risco
8115939618;Invasao de Terreno de Auxilio Moradia
8115936718;Não há Ocorrência para essa Solicitação
8115936718;Invasao de Terreno de Auxilio Moradia
8115888417;Arvores em Risco
8115883018;Arvores em Risco
8115823818;Não há Ocorrência para essa Solicitação
8115795617;Imoveis com Danos/Risco
8115731618;Não há Ocorrência para essa Solicitação
8115677118;Não há Ocorrência para essa Solicitação
8115631317;Não há Ocorrência para essa Solicitação
8115619118;Arvores em Risco
8115619118;Imoveis com Danos/Risco
8115612917;Arvores em Risco
8115612917;Tombamento de Arvores
8115565918;Imoveis com Danos/Risco
8115552617;Não há Ocorrência para essa Solicitação
8115548917;Imoveis com Danos/Risco
8115548917;Arvores em Risco
8115531718;Não há Ocorrência para essa Solicitação
8115525917;Deslizamentos de Barreiras
